change,team,league,old,new,date,window,caretaker_matches,shift,shift_norm,placebo_median,placebo_p05,placebo_p95,percentile,d_possession,d_field_tilt,d_passes_per_poss,d_pass_length,d_long_ball_share,d_directness,d_gk_short_share,d_cross_share,d_ppda,d_press_intensity,d_press_high_share,d_def_height,d_high_recoveries,d_counter_shots
AS Roma: Garcia → Spalletti,AS Roma,Serie A,Rudi Garcia,Luciano Spalletti,2016-01-17,10,0,1.466,2.192,0.913,0.580,1.482,99.901,0.660,0.905,1.383,-2.554,-2.750,-1.478,1.265,0.480,0.055,0.373,0.925,1.321,-0.819,2.327
Sampdoria: Zenga → Montella,Sampdoria,Serie A,Walter Zenga,Vincenzo Montella,2015-11-22,10,0,1.159,1.526,0.913,0.580,1.482,96.150,1.088,2.217,0.223,-1.656,-1.051,-0.383,1.028,-1.591,-0.582,1.247,1.219,1.199,0.254,-0.440
Lazio: Pioli → Inzaghi,Lazio,Serie A,Stefano Pioli,Simone Inzaghi,2016-04-10,7,0,1.627,1.471,0.914,0.585,1.485,94.611,-0.482,-0.504,0.632,1.018,0.634,-1.408,0.344,2.284,1.871,-2.459,-2.615,-1.668,-1.112,-2.649
Real Sociedad: Moyes → Sacristán,Real Sociedad,La Liga,David Moyes,Eusebio Sacristán,2015-11-21,10,0,1.309,1.470,0.913,0.580,1.482,94.472,1.074,1.019,0.740,-0.910,-1.179,-1.295,0.720,-0.359,0.361,1.607,2.476,1.176,0.600,2.477
Hellas Verona: Mandorlini → Delneri,Hellas Verona,Serie A,Andrea Mandorlini,Luigi Delneri,2015-12-06,10,0,1.606,1.393,0.913,0.580,1.482,90.721,0.288,1.014,-0.383,0.055,0.515,0.163,-0.795,1.438,-2.443,1.246,1.584,2.531,3.896,0.474
Udinese: Colantuono → Canio,Udinese,Serie A,Stefano Colantuono,Luigi De Canio,2016-03-20,9,0,1.273,1.341,0.912,0.584,1.493,89.060,-0.524,0.216,-0.402,1.780,1.202,0.474,0.682,1.082,-1.558,-0.607,0.468,1.760,2.729,1.471
Bologna: Rossi → Donadoni,Bologna,Serie A,Delio Rossi,Roberto Donadoni,2015-11-01,10,0,1.070,1.340,0.913,0.580,1.482,88.253,-0.073,-0.940,-0.550,0.339,1.213,1.272,-1.519,0.611,-1.943,1.627,-0.567,-0.577,0.368,1.317
Granada: Sandoval → González,Granada,La Liga,José Ramón Sandoval,José González,2016-03-14,9,4,1.502,1.331,0.912,0.584,1.493,88.632,-0.857,-1.805,-0.035,0.256,-0.081,0.007,0.100,0.068,2.673,-1.956,-1.812,-2.661,-1.609,-1.894
Aston Villa: Garde → Black,Aston Villa,Premier League,Rémi Garde,Eric Black,2016-04-02,7,0,1.536,1.260,0.914,0.585,1.485,85.562,-0.356,-1.416,-0.917,0.650,0.043,0.087,0.301,-1.315,2.431,0.132,-1.591,-2.913,-3.269,0.406
Sunderland: Advocaat → Allardyce,Sunderland,Premier League,Dick Advocaat,Sam Allardyce,2015-10-17,8,0,1.271,1.212,0.916,0.579,1.502,82.795,-0.916,0.069,-0.459,0.498,0.769,0.900,0.321,0.184,3.452,-1.216,1.260,0.069,-0.125,2.185
