team,league,manager,n,start,possession,field_tilt,passes_per_poss,pass_length,long_ball_share,directness,gk_short_share,cross_share,ppda,press_intensity,press_high_share,def_height,high_recoveries,counter_shots
Lille,Ligue 1,Hervé Renard,13,2015-08-07,0.728,1.076,-0.721,-0.815,-0.666,0.316,0.325,-0.763,-2.132,1.232,1.393,2.326,1.312,-1.572
Lille,Ligue 1,Frédéric Antonetti,21,2015-11-28,0.009,0.384,-0.345,-0.595,-0.447,0.171,0.647,-0.162,-0.675,0.441,1.110,0.652,0.035,0.702
Paris Saint-Germain,Ligue 1,Laurent Blanc,35,2015-08-07,2.677,1.373,4.225,-2.140,-2.292,-2.548,2.876,-0.308,-0.830,1.177,1.261,1.382,0.452,1.095
Sunderland,Premier League,Dick Advocaat,8,2015-08-08,-1.060,-2.345,-0.464,1.539,1.437,0.757,-0.865,-1.191,0.798,-1.179,-3.088,-2.625,-2.020,0.159
Sunderland,Premier League,Sam Allardyce,30,2015-10-17,-1.363,-1.351,-0.933,2.336,2.515,1.792,-0.747,-1.266,1.025,-1.033,-0.853,-1.053,0.018,0.841
Leicester City,Premier League,Claudio Ranieri,38,2015-08-08,-1.143,-0.691,-0.855,0.769,1.276,1.623,-1.337,0.205,0.594,-0.788,-0.240,-0.205,1.236,2.412
Crystal Palace,Premier League,Alan Pardew,38,2015-08-08,-0.585,-0.669,-0.843,1.369,1.368,0.792,-0.804,1.238,-0.420,-0.656,-0.579,0.627,1.484,-0.171
Norwich City,Premier League,Alex Neil,38,2015-08-08,-0.511,-0.091,-0.280,0.409,0.697,0.550,-0.686,-0.089,1.331,-1.583,-0.608,-0.169,-0.151,-1.390
Aston Villa,Premier League,Tim Sherwood,10,2015-08-08,0.056,-0.319,-0.324,-0.396,-0.212,-0.317,-0.396,0.745,1.784,-0.612,-1.406,-1.697,-1.151,1.026
Aston Villa,Premier League,Rémi Garde,20,2015-11-08,-0.507,-0.236,0.125,0.026,0.110,-0.577,-1.281,0.524,2.412,-0.645,-1.370,-1.013,-0.177,-2.095
Aston Villa,Premier League,Eric Black,7,2016-04-02,-1.255,-1.897,-0.582,0.242,-0.123,-0.469,-0.821,-0.041,3.443,-0.150,-3.085,-4.057,-2.567,-2.828
AFC Bournemouth,Premier League,Eddie Howe,38,2015-08-08,0.279,0.406,0.270,-0.063,-0.161,-0.720,0.275,-0.286,0.471,0.126,0.920,-0.113,0.073,-0.171
Tottenham Hotspur,Premier League,Mauricio Pochettino,38,2015-08-08,1.162,0.788,0.622,0.408,-0.159,-0.712,1.318,-1.100,-1.271,1.414,0.735,0.902,1.791,1.017
Swansea City,Premier League,Garry Monk,15,2015-08-08,0.619,-0.257,0.995,0.342,-0.222,-1.138,0.375,0.608,1.654,-1.324,0.362,-0.304,-1.732,-0.919
Swansea City,Premier League,Alan Curtis,7,2015-12-12,0.347,-0.824,0.568,-0.392,-0.726,-1.151,0.295,-2.013,1.133,0.322,-0.394,-0.930,-1.957,-2.169
Swansea City,Premier League,Francesco Guidolin,14,2016-01-24,0.187,-0.456,0.311,-0.232,-0.348,-0.665,-0.271,-0.530,-0.923,-0.006,0.393,-0.450,-0.606,0.200
Chelsea,Premier League,José Mourinho,16,2015-08-08,1.181,1.675,1.001,-0.838,-0.963,-0.838,-0.385,-2.074,-1.176,0.318,-0.275,0.839,1.012,-0.683
Chelsea,Premier League,Guus Hiddink,21,2015-12-26,0.817,0.885,1.101,-1.615,-1.413,-1.085,0.806,-1.086,-0.535,0.116,-0.618,-0.476,0.116,1.144
Everton,Premier League,Roberto Martínez,37,2015-08-08,0.411,-0.165,0.822,0.171,-0.223,-0.780,0.735,-0.559,0.660,-0.890,-0.965,-1.217,0.305,1.653
Angers,Ligue 1,Stéphane Moulin,35,2015-08-08,-1.115,-1.288,-0.523,-0.030,-0.149,0.672,-0.906,-0.254,2.284,-0.040,-1.279,-1.109,-1.419,-1.392
Guingamp,Ligue 1,Jocelyn Gourvennec,32,2015-08-08,-1.078,-0.810,-1.232,0.417,0.468,1.599,-0.849,0.297,1.851,-0.303,-1.493,-0.818,-0.780,-0.166
Nantes,Ligue 1,Michel Der Zakarian,36,2015-08-08,-0.211,0.376,-0.173,0.389,0.560,0.339,-0.702,0.795,-0.000,0.808,0.162,0.054,0.154,-0.531
Gazélec Ajaccio,Ligue 1,Thierry Laurey,30,2015-08-08,-0.277,-0.177,-0.276,1.887,1.405,0.703,-0.154,0.702,0.782,0.609,-0.488,-1.300,-0.173,-1.821
Troyes,Ligue 1,Jean-Marc Furlan,16,2015-08-08,-0.170,-0.270,-0.174,0.763,0.467,-0.055,0.274,-0.348,0.339,-0.126,-0.447,-1.541,-1.199,-0.189
Troyes,Ligue 1,Claude Robin,7,2015-12-12,-1.123,-0.903,-0.482,0.327,0.259,0.922,0.450,-1.581,2.179,-0.018,0.477,-1.835,-0.484,0.734
Troyes,Ligue 1,Mohamed Bradja,7,2016-02-06,0.054,-0.398,0.094,-0.814,-0.365,0.008,1.231,-0.720,1.178,0.278,-1.496,-3.018,-2.948,-1.689
AS Monaco,Ligue 1,Leonardo Jardim,36,2015-08-08,-0.162,0.213,-0.470,0.057,-0.302,0.243,0.096,0.990,0.045,0.660,0.711,0.855,-0.927,0.877
OGC Nice,Ligue 1,Claude Puel,33,2015-08-08,1.184,-0.075,1.654,-1.499,-1.480,-1.769,-0.037,0.251,0.652,1.057,-0.857,-1.021,-1.796,-0.038
Rennes,Ligue 1,Philippe Jacques William Montanier,21,2015-08-08,0.074,-0.226,0.075,-0.095,-0.050,-0.147,0.121,-0.438,-0.236,0.604,-0.376,-0.464,-0.325,-0.761
Rennes,Ligue 1,Rolland Courbis,16,2016-01-22,0.091,-0.627,0.426,-0.879,-0.912,-0.429,-0.223,-1.045,1.377,-0.492,0.438,-1.059,-2.277,-1.240
Bastia,Ligue 1,Ghislain Printant,21,2015-08-08,-1.103,-1.525,-0.911,1.456,1.442,0.513,-0.994,-0.164,1.776,-0.488,-1.700,-1.696,-2.480,-0.443
Bastia,Ligue 1,François Ciccolini,9,2016-01-30,-0.736,-0.410,-0.687,0.829,0.765,0.690,-0.733,2.151,1.390,-0.086,0.085,-0.581,-1.427,-1.303
Stade Malherbe Caen,Ligue 1,Patrice Garande,31,2015-08-08,-2.658,-1.781,-1.364,0.880,0.993,1.890,-1.193,2.043,1.903,-1.783,-1.027,-0.742,-0.928,-0.138
Olympique de Marseille,Ligue 1,Míchel,29,2015-08-23,-1.130,-0.838,0.557,-0.852,-1.196,-0.872,1.145,1.346,-0.411,-0.816,0.631,0.755,-1.032,0.285
Montpellier,Ligue 1,Rolland Courbis,19,2015-08-08,0.020,0.285,-0.385,-0.273,0.106,0.248,-0.397,-0.505,0.502,0.376,0.263,-0.601,-1.024,-1.086
Montpellier,Ligue 1,Frédéric Hantz,14,2016-01-30,0.033,0.576,-0.150,0.193,0.034,0.326,0.344,0.325,0.225,0.849,1.118,0.360,0.291,-0.208
Watford,Premier League,Quique Sánchez Flores,38,2015-08-08,-0.731,-0.760,-0.581,0.204,0.904,0.942,-1.246,-0.757,0.377,-1.347,-0.400,-0.486,0.351,-0.270
Manchester United,Premier League,Louis van Gaal,38,2015-08-08,1.390,2.051,1.349,-0.167,-0.391,-1.429,0.305,-1.041,-1.117,0.815,0.203,1.280,0.711,-0.948
Newcastle United,Premier League,Steve McClaren,28,2015-08-09,-0.508,-1.195,-0.387,0.196,0.325,-0.050,-0.395,0.848,0.754,-0.767,-2.045,-2.082,-1.178,-0.356
Newcastle United,Premier League,Rafael Benítez,10,2016-03-14,-0.549,-0.838,-0.145,-0.283,0.432,0.490,-1.194,0.194,-0.292,0.077,-1.486,-1.232,0.230,1.389
Liverpool,Premier League,Brendan Rodgers,8,2015-08-09,0.601,0.675,0.576,-0.187,-1.013,-0.561,0.729,-0.646,-0.964,-0.387,0.381,1.116,1.208,2.180
Liverpool,Premier League,Jürgen Klopp,30,2015-10-17,1.311,1.227,1.020,-0.713,-1.127,-0.525,0.639,-0.588,-1.373,2.444,0.627,0.929,1.460,1.344
Stoke City,Premier League,Mark Hughes,38,2015-08-09,-0.042,-0.785,0.105,0.913,0.214,-0.200,-0.496,-0.348,0.696,-0.821,-1.745,-1.994,-1.511,-1.039
