date,season,team,competition,opponent,venue,goals_for,goals_against,xg_for,xg_against,possession,opp_ppda,opp_ppda_pre,opp_line_height_pre,opp_strength
2022-08-10,2022-23,Brighton,League,Opponent 00,H,1,1,1.62,1.43,49.5,15.64,12.88,43.3,-1.04
2022-08-17,2022-23,Brighton,League,Opponent 01,A,3,3,1.63,0.98,53.8,15.78,13.82,41.1,0.066
2022-08-24,2022-23,Brighton,League,Opponent 02,H,1,0,1.45,1.35,73.9,11.69,12.03,42.5,0.365
2022-08-31,2022-23,Brighton,League,Opponent 03,A,2,1,2.0,0.74,67.7,10.59,8.94,45.6,-0.84
2022-09-07,2022-23,Brighton,League,Opponent 04,H,1,0,1.68,1.13,49.6,9.44,11.72,43.3,0.068
2022-09-14,2022-23,Brighton,League,Opponent 05,A,1,1,2.02,1.27,58.2,6.48,6.79,44.4,0.968
2022-09-21,2022-23,Brighton,League,Opponent 06,H,4,0,2.27,1.01,67.3,7.46,8.17,41.5,-1.276
2022-09-28,2022-23,Brighton,League,Opponent 07,A,2,1,1.99,1.2,57.9,5.25,8.01,45.9,-0.382
2022-10-05,2022-23,Brighton,League,Opponent 08,H,4,0,1.74,1.11,67.1,7.07,7.69,41.7,-1.447
2022-10-12,2022-23,Brighton,League,Opponent 09,A,2,2,1.23,1.19,59.1,5.17,6.68,46.8,0.84
2022-10-19,2022-23,Brighton,League,Opponent 10,H,1,2,2.2,1.38,65.3,13.54,11.55,45.6,0.179
2022-10-26,2022-23,Brighton,League,Opponent 11,A,4,1,2.52,1.28,62.9,6.28,7.32,41.9,-0.222
2022-11-02,2022-23,Brighton,League,Opponent 12,H,1,3,1.0,1.33,59.3,12.06,13.66,40.3,-0.141
2022-11-09,2022-23,Brighton,League,Opponent 13,A,2,1,1.84,1.5,78.5,7.29,8.59,41.8,-1.185
2022-11-16,2022-23,Brighton,League,Opponent 14,H,4,2,2.2,1.43,49.7,14.48,9.86,39.2,0.446
2022-11-23,2022-23,Brighton,League,Opponent 15,A,2,0,2.28,0.64,71.0,6.35,7.94,40.3,0.183
2022-11-30,2022-23,Brighton,League,Opponent 16,H,1,0,2.11,1.45,56.9,9.89,10.01,42.8,0.643
2022-12-07,2022-23,Brighton,League,Opponent 17,A,0,0,1.97,0.5,60.2,8.99,7.95,41.8,-0.843
2022-12-14,2022-23,Brighton,League,Opponent 18,H,1,0,2.38,0.56,65.2,10.64,10.18,45.7,-0.484
2022-12-21,2022-23,Brighton,League,Opponent 19,A,3,0,2.36,0.3,80.0,9.36,11.23,42.5,-1.084
2022-12-28,2022-23,Brighton,League,Opponent 20,H,3,0,1.86,0.79,54.5,4.56,6.0,45.5,-0.654
2023-01-04,2022-23,Brighton,League,Opponent 21,A,1,2,1.6,2.09,51.9,17.66,18.26,32.7,1.837
2023-01-11,2022-23,Brighton,League,Opponent 22,H,2,3,1.93,1.25,65.7,10.15,10.4,41.7,-1.375
2023-01-18,2022-23,Brighton,League,Opponent 23,A,0,1,1.14,2.33,48.4,18.83,14.93,40.0,2.093
2023-01-25,2022-23,Brighton,League,Opponent 24,H,0,1,1.76,1.13,60.5,11.88,8.22,42.8,0.454
2023-02-01,2022-23,Brighton,League,Opponent 25,A,1,0,1.68,0.62,69.8,12.92,10.41,43.0,-2.567
2023-02-08,2022-23,Brighton,League,Opponent 26,H,2,3,2.37,0.86,58.6,11.03,10.85,39.0,-0.329
2023-02-15,2022-23,Brighton,League,Opponent 27,A,0,1,1.82,1.65,67.6,9.1,13.47,36.5,-0.697
2023-02-22,2022-23,Brighton,League,Opponent 28,H,3,1,1.97,0.75,70.8,10.77,8.07,42.8,-0.067
2023-03-01,2022-23,Brighton,League,Opponent 29,A,2,0,2.26,1.38,58.7,8.68,6.0,46.9,0.609
2023-03-08,2022-23,Brighton,League,Opponent 30,H,2,0,2.02,1.07,64.6,12.63,13.12,38.6,0.368
2023-03-15,2022-23,Brighton,League,Opponent 31,A,3,3,1.83,0.87,58.0,24.16,13.5,36.8,0.383
2023-03-22,2022-23,Brighton,League,Opponent 32,H,3,0,2.39,1.13,57.4,6.84,6.0,50.8,-0.205
2023-03-29,2022-23,Brighton,League,Opponent 33,A,0,3,1.61,1.58,59.6,7.91,7.47,37.9,0.276
2023-04-05,2022-23,Brighton,League,Opponent 34,H,1,0,1.96,0.88,59.8,11.37,9.24,42.9,0.53
2023-04-12,2022-23,Brighton,League,Opponent 35,A,4,0,2.14,1.16,49.6,10.88,7.76,40.1,-1.993
2023-04-19,2022-23,Brighton,League,Opponent 36,H,3,1,1.57,1.29,49.4,8.62,8.91,41.9,0.092
2023-04-26,2022-23,Brighton,League,Opponent 37,A,3,2,1.37,1.36,61.8,17.39,13.32,38.3,-1.831
